Drug_A;Drug_B;Level
Dexamethasone;Dolutegravir;Minor
Ivacaftor;Dolutegravir;Minor
Lamivudine;Mannitol;Moderate
Betamethasone;Zidovudine;Moderate
Zidovudine;Budesonide;Moderate
Zidovudine;Dexamethasone;Moderate
Zidovudine;Flurbiprofen;Moderate
Zidovudine;Hydrocortisone;Moderate
Zidovudine;Ibuprofen;Moderate
Zidovudine;Mercaptopurine;Moderate
Zidovudine;Prednisolone;Moderate
Zidovudine;Roflumilast;Moderate
Zidovudine;Triamcinolone;Moderate
Astemizole;Abametapir (topical);Moderate
Betamethasone;Abametapir (topical);Moderate
Budesonide;Abametapir (topical);Moderate
Caffeine;Abametapir (topical);Moderate
Ciclesonide;Abametapir (topical);Moderate
Cocaine (topical);Abametapir (topical);Moderate
Codeine;Abametapir (topical);Moderate
Dexamethasone;Abametapir (topical);Moderate
Dextromethorphan;Abametapir (topical);Moderate
Abametapir (topical);Fluticasone;Moderate
Hydrocodone;Abametapir (topical);Moderate
Hydrocortisone;Abametapir (topical);Moderate
Indacaterol;Abametapir (topical);Moderate
Ivacaftor;Abametapir (topical);Moderate
Lidocaine;Abametapir (topical);Moderate
Loratadine;Abametapir (topical);Moderate
Montelukast;Abametapir (topical);Moderate
Pentoxifylline;Abametapir (topical);Moderate
Prednisolone;Abametapir (topical);Moderate
Roflumilast;Abametapir (topical);Moderate
Salmeterol;Abametapir (topical);Moderate
Terfenadine;Abametapir (topical);Moderate
Theophylline;Abametapir (topical);Moderate
Triamcinolone;Abametapir (topical);Moderate
Abatacept;Roflumilast;Moderate
Abciximab;Flurbiprofen;Moderate
Abciximab;Flurbiprofen (ophthalmic);Moderate
Abciximab;Ibuprofen;Moderate
Abciximab;Pentoxifylline;Moderate
Dexamethasone;Abemaciclib;Moderate
Roflumilast;Abemaciclib;Moderate
Salbutamol;Abiraterone;Moderate
Astemizole;Abiraterone;Moderate
Chlorpheniramine;Abiraterone;Moderate
Codeine;Abiraterone;Moderate
Dextromethorphan;Abiraterone;Moderate
Diphenhydramine;Abiraterone;Moderate
Formoterol;Abiraterone;Moderate
Hydrocodone;Abiraterone;Major
Indacaterol;Abiraterone;Moderate
Isoprenaline;Abiraterone;Moderate
Abiraterone;Ivacaftor;Moderate
Orciprenaline;Abiraterone;Moderate
Methdilazine;Abiraterone;Moderate
Montelukast;Abiraterone;Moderate
Abiraterone;Olodaterol;Moderate
Pirbuterol;Abiraterone;Moderate
Promethazine;Abiraterone;Moderate
Abiraterone;Revefenacin;Moderate
Salmeterol;Abiraterone;Moderate
Terbutaline;Abiraterone;Moderate
Terfenadine;Abiraterone;Moderate
Thiethylperazine;Abiraterone;Moderate
Alimemazine;Abiraterone;Moderate
Botulinum toxin type A;Acrivastine;Moderate
Botulinum toxin type A;Azatadine;Moderate
Botulinum toxin type A;Brompheniramine;Moderate
Botulinum toxin type A;Carbinoxamine;Moderate
Botulinum toxin type A;Chlorcyclizine;Moderate
Botulinum toxin type A;Chlorpheniramine;Moderate
Botulinum toxin type A;Clemastine;Moderate
Botulinum toxin type A;Cyclizine;Moderate
Botulinum toxin type A;Cyproheptadine;Moderate
Botulinum toxin type A;Dexbrompheniramine;Moderate
Botulinum toxin type A;Diphenhydramine;Moderate
Botulinum toxin type A;Doxylamine;Moderate
Botulinum toxin type A;Glycopyrronium;Moderate
Botulinum toxin type A;Meclizine;Moderate
Botulinum toxin type A;Methdilazine;Moderate
Botulinum toxin type A;Neomycin;Major
Botulinum toxin type A;Phenindamine;Moderate
Botulinum toxin type A;Promethazine;Moderate
Botulinum toxin type A;Mepyramine;Moderate
Botulinum toxin type A;Thiethylperazine;Moderate
Botulinum toxin type A;Alimemazine;Moderate
Botulinum toxin type A;Tripelennamine;Moderate
Botulinum toxin type A;Triprolidine;Moderate
Paclitaxel;Dexamethasone;Moderate
Paclitaxel;Roflumilast;Moderate
Zafirlukast;Paclitaxel;Moderate
Betamethasone;Isotretinoin;Moderate
Isotretinoin;Budesonide;Moderate
Isotretinoin;Dexamethasone;Moderate
Hydrocortisone;Isotretinoin;Moderate
Isotretinoin;Ivacaftor;Moderate
Prednisolone;Isotretinoin;Moderate
Triamcinolone;Isotretinoin;Moderate
Vitamin A;Isotretinoin;Major
Azatadine;Fentanyl;Moderate
Fentanyl;Azelastine (nasal);Moderate
Fentanyl;Brompheniramine;Moderate
Fentanyl;Pentoxyverine;Moderate
Carbinoxamine;Fentanyl;Moderate
Cetirizine;Fentanyl;Moderate
Fentanyl;Clofedanol;Moderate
Fentanyl;Chlorcyclizine;Moderate
Fentanyl;Chlorpheniramine;Moderate
Clemastine;Fentanyl;Moderate
Codeine;Fentanyl;Major
Fentanyl;Cyclizine;Moderate
Cyproheptadine;Fentanyl;Moderate
Fentanyl;Dexamethasone;Major
Dexbrompheniramine;Fentanyl;Moderate
Fentanyl;Diphenhydramine;Moderate
Doxylamine;Fentanyl;Moderate
Fentanyl;Glycopyrronium;Moderate
Fentanyl;Hydrocodone;Major
Fentanyl;Ivacaftor;Moderate
Fentanyl;Levocetirizine;Moderate
Meclizine;Fentanyl;Moderate
Fentanyl;Methdilazine;Moderate
Olopatadine (nasal);Fentanyl;Moderate
Fentanyl;Phenindamine;Moderate
Fentanyl;Promethazine;Moderate
Fentanyl;Mepyramine;Moderate
Thiethylperazine;Fentanyl;Moderate
Fentanyl;Alimemazine;Moderate
Trimethobenzamide;Fentanyl;Moderate
Tripelennamine;Fentanyl;Moderate
Triprolidine;Fentanyl;Moderate
Zafirlukast;Fentanyl;Major
Dexamethasone;Acalabrutinib;Moderate
Flurbiprofen;Acalabrutinib;Major
Flurbiprofen (ophthalmic);Acalabrutinib;Moderate
Ibuprofen;Acalabrutinib;Major
Ivacaftor;Acalabrutinib;Moderate
Pentoxifylline;Acalabrutinib;Major
Roflumilast;Acalabrutinib;Moderate
Zafirlukast;Acalabrutinib;Moderate
Acarbose;Salbutamol;Moderate
Acarbose;Betamethasone;Moderate
Acarbose;Betamethasone (topical);Minor
Acarbose;Dexamethasone;Moderate
Acarbose;Dexamethasone (ophthalmic);Minor
Acarbose;Dexamethasone (topical);Minor
Acarbose;Ephedrine;Moderate
Acarbose;Epinephrine;Moderate
Acarbose;Fluticasone (topical);Minor
Acarbose;Formoterol;Moderate
Acarbose;Hydrocortisone;Moderate
Acarbose;Hydrocortisone (topical);Minor
Acarbose;Indacaterol;Moderate
Acarbose;Isoprenaline;Moderate
Acarbose;Orciprenaline;Moderate
Acarbose;Methdilazine;Moderate
Acarbose;Neomycin;Moderate
Acarbose;Phenylephrine;Moderate
Acarbose;Phenylpropanolamine;Moderate
Acarbose;Prednisolone;Moderate
Acarbose;Promethazine;Moderate
Acarbose;Pseudoephedrine;Moderate
Acarbose;Salmeterol;Moderate
Acarbose;Terbutaline;Moderate
Acarbose;Thiethylperazine;Moderate
Acarbose;Triamcinolone;Moderate
